parlamentarier_anzeige_name,parlamentarier_id,parlamentarier_nachname,parlamentarier_vorname,parlamentarier_zweiter_vorname,parlamentarier_rat,parlamentarier_kanton,parlamentarier_partei,parlamentarier_fraktion,parlamentarier_kommissionen,parlamentarier_im_rat_seit,parlamentarier_im_rat_bis,parlamentarier_geschlecht,parlamentarier_geburtstag,parlamentarier_parlament_biografie_id,parlamentarier_parlament_number,parlamentarier_sprache,parlamentarier_arbeitssprache,interessenbindung_beschreibung,interessenbindung_von,interessenbindung_bis,interessenbindung_art,interessenbindung_funktion_im_gremium,interessenbindung_deklarationstyp,interessenbindung_status,interessenbindung_hauptberuflich,interessenbindung_behoerden_vertreter,interessenbindung_wirksamkeit,organisation_id,verguetung,verguetung_jahr,verguetung_beschreibung,organisation_name_de,organisation_uid,organisation_name_fr,organisation_ort,organisation_rechtsform,organisation_rechtsform_handelsregister,organisation_rechtsform_zefix,organisation_typ,organisation_vernehmlassung,gruppe_spalte,interessengruppe,Hauptcode,Hauptkategorie,Subcode,Subkategorie
"Ettlin, Erich",316,Ettlin,Erich,Ernst,SR,OW,M,M-E,"FK-SR, PD-OECD-V, RedK-V, SGK-SR, WAK-SR",2015-11-30T00:00:00Z,NA,M,1962-05-30T00:00:00Z,4206,3107,de,de,Mitglied Patronatskomitee,NA,NA,beirat,mitglied,deklarationspflichtig,nicht-deklariert,0,NA,tief,8237,0,2025,Ehrenamtlich,Nachhaltigkeitsnetzwerk Zentralschweiz,NA,NA,Luzern,Verein,NA,NA,EinzelOrganisation,nie,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Gmür-Schönenberger, Andrea",284,Gmür-Schönenberger,Andrea,NA,SR,LU,M,M-E,"KVF-SR, NATO-V, SiK-SR, WBK-SR",2015-11-30T00:00:00Z,NA,F,1964-07-17T00:00:00Z,4181,3075,de,de,Mitglied Patronatskomitee,NA,NA,beirat,mitglied,deklarationspflichtig,nicht-deklariert,0,NA,tief,8237,0,2025,Ehrenamtlich,Nachhaltigkeitsnetzwerk Zentralschweiz,NA,NA,Luzern,Verein,NA,NA,EinzelOrganisation,nie,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Gössi, Petra",101,Gössi,Petra,Christina Antonella,SR,SZ,FDP,RL,"APK-SR, GPDel-V, GPK-S, RedK-V, SPK-SR",2011-12-05T00:00:00Z,NA,F,1976-01-12T00:00:00Z,4116,3023,de,de,Mitglied Patronatskomitee,NA,NA,beirat,mitglied,deklarationspflichtig,nicht-deklariert,0,NA,tief,8237,0,2025,Ehrenamtlich,Nachhaltigkeitsnetzwerk Zentralschweiz,NA,NA,Luzern,Verein,NA,NA,EinzelOrganisation,nie,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Töngi, Michael",334,Töngi,Michael,NA,NR,LU,Grüne,G,"GPK-NR, KVF-NR",2018-03-12T00:00:00Z,NA,M,1967-03-16T00:00:00Z,4221,3122,de,de,Mitglied Patronatskomitee,NA,NA,beirat,mitglied,deklarationspflichtig,nicht-deklariert,0,NA,tief,8237,0,2025,Ehrenamtlich,Nachhaltigkeitsnetzwerk Zentralschweiz,NA,NA,Luzern,Verein,NA,NA,EinzelOrganisation,nie,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Wismer-Felder, Priska",363,Wismer-Felder,Priska,NA,NR,LU,M,M-E,"GPK-N, UREK-NR",2019-10-20T00:00:00Z,NA,F,1970-10-02T00:00:00Z,4305,3202,de,de,Mitglied Patronatskomitee,NA,NA,beirat,mitglied,deklarationspflichtig,nicht-deklariert,0,NA,tief,8237,NA,NA,NA,Nachhaltigkeitsnetzwerk Zentralschweiz,NA,NA,Luzern,Verein,NA,NA,EinzelOrganisation,nie,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Z'graggen, Heidi",352,Z'graggen,Heidi,NA,SR,UR,M,M-E,"BeK-V, GK-V, GPK-S, RK-SR, SPK-SR",2019-10-20T00:00:00Z,NA,F,1966-02-01T00:00:00Z,4243,3198,de,de,Mitglied Patronatskomitee,NA,NA,beirat,mitglied,deklarationspflichtig,nicht-deklariert,0,NA,tief,8237,0,2025,Ehrenamtlich,Nachhaltigkeitsnetzwerk Zentralschweiz,NA,NA,Luzern,Verein,NA,NA,EinzelOrganisation,nie,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Andrey, Gerhard",371,Andrey,Gerhard,NA,NR,FR,Grüne,G,"FK-NR, SiK-NR",2019-10-20T00:00:00Z,NA,M,1976-01-21T00:00:00Z,4245,3137,de,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Badertscher, Christine",355,Badertscher,Christine,NA,NR,BE,Grüne,G,APK-NR,2019-12-01T00:00:00Z,NA,F,1982-01-11T00:00:00Z,4246,3138,de,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Christ, Katja",369,Christ,Katja,NA,NR,BS,GLP,GL,"Bü-N, Bü-VBV-V, Del A-V, GK-V, WBK-NR",2019-12-01T00:00:00Z,NA,F,1972-08-01T00:00:00Z,4252,3144,de,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Clivaz, Christophe",383,Clivaz,Christophe,Charles,NR,VS,Grüne,G,UREK-NR,2019-10-20T00:00:00Z,NA,M,1969-01-07T00:00:00Z,4253,3145,fr,fr,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Cottier, Damien",388,Cottier,Damien,Jacques André,NR,NE,FDP,RL,"Bü-NR, ERD, FK-NR, KVF-NR",2019-10-20T00:00:00Z,NA,M,1975-04-03T00:00:00Z,4254,3146,fr,fr,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"de Quattro, Jacqueline",392,de Quattro,Jacqueline,NA,NR,VD,FDP,RL,"IK-NR, NATO-V, SiK-NR",2019-10-20T00:00:00Z,NA,F,1960-06-24T00:00:00Z,4257,3149,de,fr,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Dittli, Josef",315,Dittli,Josef,NA,SR,UR,FDP,RL,"GPK-S, KVF-SR, SGK-SR, SiK-SR",2015-11-30T00:00:00Z,NA,M,1957-04-11T00:00:00Z,4151,3052,de,de,Präsident,2022-09-05T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,tief,8152,0,2025,Ehrenamtlich,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Flach, Beat",83,Flach,Beat,NA,NR,AG,GLP,GL,"RK-N, SiK-N",2011-12-05T00:00:00Z,NA,M,1965-01-21T00:00:00Z,4059,2765,de,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Friedl, Claudia",89,Friedl,Claudia,NA,NR,SG,SP,S,"APK-NR, Del A-V, Del FL-V, OSZE",2013-03-04T00:00:00Z,NA,F,1960-07-19T00:00:00Z,4131,3035,de,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Giacometti, Anna",374,Giacometti,Anna,NA,NR,GR,FDP,RL,"Del I-V, FK-NR",2019-10-20T00:00:00Z,NA,F,1961-09-08T00:00:00Z,4265,3157,it,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Glättli, Balthasar",98,Glättli,Balthasar,NA,NR,ZH,Grüne,G,"SiK-NR, SPK-NR",2011-12-05T00:00:00Z,NA,M,1972-02-12T00:00:00Z,4093,3003,de,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Graf, Maya",102,Graf,Maya,NA,SR,BL,Grüne,G,"GPDel-V, GPK-S, SGK-SR, WBK-SR",2001-06-05T00:00:00Z,NA,F,1962-02-28T00:00:00Z,806,2569,de,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Herzog, Eva",382,Herzog,Eva,Maria,SR,BS,SP,S,"Del D-V, FK-SR, KVF-SR, PD-OECD-V, WAK-SR",2019-10-20T00:00:00Z,NA,F,1961-12-25T00:00:00Z,4239,3194,de,de,Präsidentin,2021-09-06T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,tief,8152,0,2025,Ehrenamtlich,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Huber, Alois",425,Huber,Alois,NA,NR,AG,SVP,V,"GPK-NR, WBK-NR",2020-03-02T00:00:00Z,NA,M,1962-11-21T00:00:00Z,4317,3213,de,de,Präsident,2024-07-01T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Jositsch, Daniel",125,Jositsch,Daniel,Reuwen,SR,ZH,SP,S,"APK-SR, IPU, OSZE, RK-SR, SiK-SR, SPK-SR",2007-12-03T00:00:00Z,NA,M,1965-03-25T00:00:00Z,3891,2694,de,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Jost, Marc",437,Jost,Marc,NA,NR,BE,EVP,M-E,"GPK-N, SPK-NR",2022-11-28T00:00:00Z,NA,M,1974-02-06T00:00:00Z,4331,3226,de,de,Mitglied,2023-11-02T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Klopfenstein Broggini, Delphine",403,Klopfenstein Broggini,Delphine,NA,NR,GE,Grüne,G,"Del F-V, KVF-NR, SPK-NR",2019-12-02T00:00:00Z,NA,F,1976-06-09T00:00:00Z,4272,3164,fr,fr,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Kutter, Philipp",337,Kutter,Philipp,NA,NR,ZH,M,M-E,KVF-NR,2018-06-11T00:00:00Z,NA,M,1975-08-31T00:00:00Z,4225,3126,de,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Michaud Gigon, Sophie",367,Michaud Gigon,Sophie,Alda Linette,NR,VD,Grüne,G,"Del FL-V, PD-OECD-V, WAK-NR",2019-10-20T00:00:00Z,NA,F,1975-01-20T00:00:00Z,4278,3170,fr,fr,Präsidentin,2023-11-02T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Michel, Matthias",400,Michel,Matthias,NA,SR,ZG,FDP,RL,"APK-SR, ERD, RK-SR, WBK-SR",2019-12-01T00:00:00Z,NA,M,1963-03-20T00:00:00Z,4309,3205,de,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Prelicz-Huber, Katharina",411,Prelicz-Huber,Katharina,NA,NR,ZH,Grüne,G,"GPK-N, WBK-NR",2008-09-15T00:00:00Z,NA,F,1959-10-12T00:00:00Z,3999,2732,de,de,Mitglied,2025-03-04T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Pult, Jon",378,Pult,Jon,Andri,NR,GR,SP,S,"KVF-NR, UREK-NR",2019-10-20T00:00:00Z,NA,M,1984-10-12T00:00:00Z,4281,3173,de,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Ryser, Franziska",346,Ryser,Franziska,NA,NR,SG,Grüne,G,WAK-NR,2019-12-01T00:00:00Z,NA,F,1991-10-22T00:00:00Z,4286,3178,de,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Schaffner, Barbara",418,Schaffner,Barbara,NA,NR,ZH,GLP,GL,"Del FL-V, KVF-NR",2019-12-02T00:00:00Z,NA,F,1968-07-28T00:00:00Z,4287,3179,de,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Trede, Aline",198,Trede,Aline,Lisa,NR,BE,Grüne,G,"Bü-NR, IK-NR, UREK-NR",2013-03-04T00:00:00Z,NA,F,1983-08-26T00:00:00Z,4128,3032,de,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Vara, Céline",421,Vara,Céline,Marie,SR,NE,Grüne,G,"GPK-S, RedK-V, RK-SR, UREK-SR",2019-12-02T00:00:00Z,NA,F,1984-10-04T00:00:00Z,4242,3197,fr,fr,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Vincenz-Stauffacher, Susanne",361,Vincenz-Stauffacher,Susanne,NA,NR,SG,FDP,RL,"Del FL-V, GK-V, IK-NR, UREK-NR",2019-12-01T00:00:00Z,NA,F,1967-01-21T00:00:00Z,4296,3188,de,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"von Falkenstein, Patricia",430,von Falkenstein,Patricia,Caroline Manuela,NR,BS,LDP,RL,"BeK, GK, GPK-N, RK-N",2021-11-29T00:00:00Z,NA,F,1961-04-11T00:00:00Z,4324,3219,de,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Walder, Nicolas",422,Walder,Nicolas,NA,NR,GE,Grüne,G,", APF-V, APK-NR, EFTA/EU",2019-12-02T00:00:00Z,NA,M,1966-05-02T00:00:00Z,4297,3189,fr,fr,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Weber, Céline",431,Weber,Céline,NA,NR,VD,GLP,GL,SPK-N,2021-11-29T00:00:00Z,NA,F,1974-08-22T00:00:00Z,4323,3218,fr,fr,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Wehrli, Laurent",310,Wehrli,Laurent,NA,NR,VD,FDP,RL,"APF-V, APK-NR, GPK-N, IPU",2015-11-30T00:00:00Z,NA,M,1965-06-04T00:00:00Z,4194,3100,fr,fr,Mitglied,2023-11-02T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Wettstein, Felix",354,Wettstein,Felix,NA,NR,SO,Grüne,G,"FK-NR, RedK-V",2019-10-20T00:00:00Z,NA,M,1958-01-19T00:00:00Z,4299,3191,de,de,Mitglied,2022-06-29T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Wismer-Felder, Priska",363,Wismer-Felder,Priska,NA,NR,LU,M,M-E,"GPK-N, UREK-NR",2019-10-20T00:00:00Z,NA,F,1970-10-02T00:00:00Z,4305,3202,de,de,Präsidentin,2021-09-06T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,tief,8152,NA,NA,NA,Nachhaltigkeitsziele 2030,NA,Objectifs de développement durable 2030,NA,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt allgemein,1,Ökologische Schutzinteressen,1.6,Klima- & Umweltschutz allgemein
"Friedl, Claudia",89,Friedl,Claudia,NA,NR,SG,SP,S,"APK-NR, Del A-V, Del FL-V, OSZE",2013-03-04T00:00:00Z,NA,F,1960-07-19T00:00:00Z,4131,3035,de,de,Mitglied,2020-06-09T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5548,NA,NA,NA,Natur- und Heimatschutz,NA,Protection de la nature et du paysage,Bern,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.2,Landschaftsschutz & Alpenraum
"Jauslin, Matthias Samuel",314,Jauslin,Matthias Samuel,NA,NR,AG,GLP,GL,"Del A-V, GPK-N, KVF-NR",2015-11-30T00:00:00Z,NA,M,1962-04-20T00:00:00Z,4208,3109,de,de,Co-Präsident,2024-10-01T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,tief,5548,NA,NA,NA,Natur- und Heimatschutz,NA,Protection de la nature et du paysage,Bern,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.2,Landschaftsschutz & Alpenraum
"Müller-Altermatt, Stefan",153,Müller-Altermatt,Stefan,NA,NR,SO,M,M-E,"BeK-V, GPDel-V, GPK-N, UREK-NR",2011-12-05T00:00:00Z,NA,M,1976-06-17T00:00:00Z,4063,2771,de,de,Co-Präsident,2024-10-01T00:00:00Z,NA,vorstand,praesident,deklarationspflichtig,deklariert,0,N,tief,5548,NA,NA,NA,Natur- und Heimatschutz,NA,Protection de la nature et du paysage,Bern,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.2,Landschaftsschutz & Alpenraum
"Wehrli, Laurent",310,Wehrli,Laurent,NA,NR,VD,FDP,RL,"APF-V, APK-NR, GPK-N, IPU",2015-11-30T00:00:00Z,NA,M,1965-06-04T00:00:00Z,4194,3100,fr,fr,Mitglied,2020-11-23T00:00:00Z,NA,mitglied,NA,deklarationspflichtig,deklariert,0,N,tief,5548,NA,NA,NA,Natur- und Heimatschutz,NA,Protection de la nature et du paysage,Bern,Parlamentarische Gruppe,NA,NA,"EinzelOrganisation,dezidierteLobby",nie,organisation_interessengruppe1,Umwelt & Natur,1,Ökologische Schutzinteressen,1.2,Landschaftsschutz & Alpenraum
